Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
Vital do Rêgo Filho (Vital do Rêgo),Senador - PMDB,200,Não disponível,0,0,-25,0,-10,165
Manoel Alves da Silva Junior (Manoel Junior),Deputado Federal - PMDB,200,35,-40,0,0,0,-27,168
Hermes Parcianello (Hermes Parcianello),Deputado Federal - PMDB,200,-40,-25,0,0,10,24,169
João Eduardo Dado Leite de Carvalho (João Dado),Deputado Federal - SDD,200,65,-20,0,0,-20,-55,170
Marcelo Theodoro de Aguiar (Marcelo Aguiar),Deputado Federal - DEM,200,-5,5,-10,-25,10,-5,170
Raul da Silva Lima Sobrinho (Raul Lima),Deputado Federal - PP,200,-35,-5,0,-25,0,35,170
Felipe Leone Bornier de Oliveira (Felipe Bornier),Deputado Federal - PSD,200,50,-15,0,0,10,-74,171
Augusto Rodrigues Coutinho de Melo (Augusto Coutinho),Deputado Federal - SDD,200,40,5,0,-50,0,-22,173
Elvino José Bohn Gass (Bohn Gass),Deputado Federal - PT,200,-25,5,0,0,20,-27,173
Guilherme Mussi Ferreira (Guilherme Mussi),Deputado Federal - PP,200,-65,15,-10,0,10,23,173
Jair Messias Bolsonaro (Jair Bolsonaro),Deputado Federal - PP,200,30,-20,0,-50,-40,53,173
Luiz Otavio Oliveira Campos (Luiz Otavio),Deputado Federal - PMDB,200,20,85,0,-125,-10,4,174
Miro Teixeira (Miro Teixeira),Deputado Federal - PROS,200,0,70,0,0,0,-95,175
Randolph Frederich Rodrigues Alves (Randolfe Rodrigues),Senador - PSOL,200,Não disponível,-15,0,0,10,-17,178
Edson Sampaio Pimenta (Edson Pimenta),Deputado Federal - PSD,200,-10,0,0,-25,0,14,179
Márcio Carlos Marinho (Márcio Marinho),Deputado Federal - PRB,200,15,-45,0,0,0,9,179
Roberto João Pereira Freire (Roberto Freire),Deputado Federal - PPS,200,-35,15,0,0,0,-1,179
Rodrigo Garcia (Rodrigo Garcia),Deputado Federal - DEM,200,-15,90,-10,-100,20,-6,179
Paulo Roberto Barreto Bornhausen (Paulo Bornhausen),Deputado Federal - DEM,200,-145,50,0,0,-10,85,180
Ronaldo Miro Zülke (Ronaldo Zulke),Deputado Federal - PT,200,0,5,0,0,0,-24,181
Acelino Freitas (Acelino Popó),Deputado Federal - PRB,200,-30,5,0,0,10,-3,182
Inácio Francisco de Assis Nunes Arruda (Inácio Arruda),Senador - PC do B,200,Não disponível,-65,0,0,10,37,182
Assis Flávio da Silva Melo (Assis Melo),Deputado Federal - PCdoB,200,10,0,0,0,10,-37,183
Domingos Sávio Campos Resende (Domingos Sávio),Deputado Federal - PSDB,200,-5,15,0,-25,20,-22,183
Afonso Bandeira Florence (Afonso Florence),Deputado Federal - PT,200,45,35,0,-100,20,-16,184
Joseli ângelo Agnolin (ângelo Agnolin),Deputado Federal - PDT,200,55,0,0,-75,-10,15,185
Bruna Dias Furlan (Bruna Furlan),Deputado Federal - PSDB,200,40,15,0,-100,20,11,186
João Alberto Rodrigues Capiberibe (João Capiberibe),Senador - PSB,200,Não disponível,-5,10,-75,10,46,186
Izalci Lucas Ferreira (Izalci),Deputado Federal - PSDB,200,90,20,0,-150,-20,47,187
Jorge Wicks Côrte Real (Jorge Côrte Real),Deputado Federal - PTB,200,-30,5,0,0,20,-8,187
Luiz Carlos Gomes Dos Santos Junior (Luiz Carlos),Deputado Federal - PSDB,200,-50,-10,0,0,20,27,187
Mário Couto Filho (Mário Couto),Senador - PSDB,200,Não disponível,-75,20,-100,0,142,187
Eunício Lopes de Oliveira (Eunício Oliveira),Senador - PMDB,200,Não disponível,100,-10,0,20,-122,188
Erivelton Lima Santana (Erivelton Santana),Deputado Federal - PSC,200,-40,10,0,-50,10,59,189
Jandira Feghali (Jandira Feghali),Deputado Federal - PCdoB,200,-25,25,-10,0,20,-21,189
José Olimpio Silveira Moraes (Missionário José Olimpio),Deputado Federal - PP,200,-25,10,0,0,0,4,189
Aureo Lidio Moreira Ribeiro (Aureo),Deputado Federal - SDD,200,0,15,0,0,0,-25,190
Roberto Requião de Mello E Silva (Roberto Requião),Senador - PMDB,200,Não disponível,10,10,-50,20,2,192
Glauber de Medeiros Braga (Glauber Braga),Deputado Federal - PSB,200,35,-5,0,0,20,-57,193
Luiz Albuquerque Couto (Luiz Couto),Deputado Federal - PT,200,85,-15,0,0,20,-97,193
Márcio Miguel Bittar (Marcio Bittar),Deputado Federal - PSDB,200,-60,0,0,0,0,53,193
Liliam Sá de Paula (Liliam Sá),Deputado Federal - PROS,200,0,15,0,0,-10,-11,194
Osmar José Serraglio (Osmar Serraglio),Deputado Federal - PMDB,200,60,-35,0,0,10,-41,194
Francisco Floriano de Sousa Silva (Francisco Floriano),Deputado Federal - PR,200,-30,10,0,0,0,18,198
